periódicos,scielo_url,publicador,status,"revista brasileira?"
"Ciência e Cultura ",http://cienciaecultura.bvs.br/scielo.php?script=sci_serial&pid=0009-6725&lng=en,"Sociedade Brasileira para o Progresso da Ciência",current,sim
"CienciaUAT ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-7858&lng=en,"Universidad Autónoma de Tamaulipas",current,não
"Clean Air Journal ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2410-972X&lng=en,"National Association for Clean Air",current,não
"Colombia Forestal ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-0739&lng=en,"Proyecto Curricular de Ingeniería Forestal, Facultad del Medio Ambiente y Recursos Naturales, Universidad Distrital Francisco José de Caldas.",current,não
"Crop Breeding and Applied Biotechnology ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-7033&lng=en,"Crop Breeding and Applied Biotechnology",current,sim
"Cuadernos de Investigación UNED ",http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1659-4266&lng=en,"Universidad Estatal a Distancia de Costa Rica",current,não
"Cuadernos Hospital de Clínicas ",http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=1652-6776&lng=en,"Universidad Mayor de San Andrés, Facultad de Medicina",current,não
"Curationis ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2223-6279&lng=en,"Democratic Nursing Organisation of South Africa (DENOSA)",current,não
"Current Ethology ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2594-9985&lng=en,"Sociedade Brasileira de Etologia",current,sim
"Ecología Aplicada ",http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1726-2216&lng=en,"Universidad Nacional Agraria La Molina. Departamento Académico de Biología",current,não
"Ecología en Bolivia ",http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=1605-2528&lng=en,"Plural Editores",current,não
"Ecosistemas y recursos agropecuarios ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-9028&lng=en,"Universidad Juárez Autónoma de Tabasco, Dirección de Investigación y Posgrado",current,não
"Educación química ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-893X&lng=en,"Universidad Nacional Autónoma de México, Facultad de Química",current,não
"Entreciencias: diálogos en la sociedad del conocimiento ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-8064&lng=en,"Universidad Nacional Autónoma de México, Escuela Nacional de Estudios Superiores Unidad León",current,não
"Gayana (Concepción) ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6538&lng=en,"Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción",current,não
"Gayana. Botánica ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6643&lng=en,"Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción",current,não
"Genetics and Molecular Biology ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1415-4757&lng=en,"Sociedade Brasileira de Genética",current,sim
"Gerais : Revista Interinstitucional de Psicologia ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1983-8220&lng=en,"Universidade Federal de São João del-Rei, Universidade Federal de Minas Gerais e Universidade Federal de Uberlândia.",current,sim
"Health SA Gesondheid (Online) ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2071-9736&lng=en,"AOSIS Publishing on behalf of University of Johannesburg",current,não
"Hoehnea ",http://www.scielo.br/scielo.php?script=sci_serial&pid=2236-8906&lng=en,"Instituto de Botânica",current,sim
"Huitzil ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-7459&lng=en,"Sociedad para el Estudio y Conservación de las Aves en México, A.C. (CIPAMEX)",current,não
"Iheringia. Série Zoologia ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0073-4721&lng=en,"Museu de Ciências Naturais",current,sim
"International Journal of Morphology ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-9502&lng=en,"Sociedad Chilena de Anatomía",current,não
"Investigación Clínica ",http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0535-5133&lng=en,"Universidad del Zulia",current,não
"InVet ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-3498&lng=en,"Facultad de Ciencias Veterinarias, Universidad de Buenos Aires",current,não
"Journal of the Selva Andina Animal Science ",http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2311-2581&lng=en,"Journal of the Selva Andina Animal Science.",current,não
"Journal of the Selva Andina Biosphere ",http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2308-3859&lng=en,"Journal of the Selva Andina Biosphere.",current,não
"Journal of the Selva Andina Research Society ",http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2072-9294&lng=en,"Ã“rgano oficial de la:",current,não
"Journal of the South African Veterinary Association ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1019-9128&lng=en,"South African Veterinary Association",current,não
"Journal of Venomous Animals and Toxins including Tropical Diseases ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-9199&lng=en,"Centro de Estudos de Venenos e Animais Peçonhentos",current,sim
"Kasmera ",http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0075-5222&lng=en,"Universidad del Zulia",current,não
"Koedoe ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0075-6458&lng=en,"South African National Parks (SANParks)",current,não
"Lankesteriana ",http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1409-3871&lng=en,"Lankester Botanical Garden, University of Costa Rica",current,não
"Latin american journal of aquatic research ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-560X&lng=en,"Pontificia Universidad Católica de Valparaíso. Facultad de Recursos Naturales. Escuela de Ciencias del Mar",current,não
"Memórias do Instituto Oswaldo Cruz ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0074-0276&lng=en,"Instituto Oswaldo Cruz, Ministério da SaÃºde",current,sim
"Mendive. Revista de Educación ",http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-7696&lng=en,"Universidad de Pinar del Río Hermanos Saíz Montes de Oca",current,não
"Multequina ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7329&lng=en,"Dirección de Recursos Naturales Renovables de Mendoza",,não
"Nauplius ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6497&lng=en,"Sociedade Brasileira de Carcinologia",current,sim
"Neotropical Ichthyology ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1679-6225&lng=en,"Sociedade Brasileira de Ictiologia",current,sim
"Nova scientia ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-0705&lng=en,"Universidad de La Salle Bajío A. C., Coordinación de Investigación",current,não
"Onderstepoort Journal of Veterinary Research ",http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0030-2465&lng=en,"ARC-Onderstepoort Veterinary Institute - Agricultural Research Council",current,não
"Papéis Avulsos de Zoologia ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0031-1049&lng=en,"Museu de Zoologia da Universidade de São Paulo",current,sim
"Persona y Bioética ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3122&lng=en,"Universidad de la Sabana",current,não
"Podium. Revista de Ciencia y Tecnología en la Cultura Física ",http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1996-2452&lng=en,"Universidad de Pinar del Río Hermanos Saíz Montes de Oca",current,não
"Polibotánica ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-2768&lng=en,"Instituto Politécnico Nacional, Escuela Nacional de Ciencias Biológicas",current,não
"Revista Ambiente & Ã_x0081_gua ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-993X&lng=en,"Instituto de Pesquisas Ambientais em Bacias Hidrográficas",current,sim
"Revista argentina de antropología biológica ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-7991&lng=en,"Asociación de Antropología Biológica Argentina",current,não
"Revista argentina de microbiología ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-7541&lng=en,"Asociación Argentina de Microbiología",current,não
"Revista bio ciencias ",http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-3380&lng=en,"Universidad Autónoma de Nayarit",current,não
"Revista Boliviana de Química ",http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=0250-5460&lng=en,"Universidad Mayor de San Andrés",current,não
"Revista Brasileira de Entomologia ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0085-5626&lng=en,"Sociedade Brasileira De Entomologia",current,sim
"Revista Brasileira de Parasitologia Veterinária ",http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-2961&lng=en,"Colégio Brasileiro de Parasitologia Veterinária",current,sim
"Revista Brasileira de Terapia Comportamental e Cognitiva ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1517-5545&lng=en,"Associação Brasileira de Psicoterapia e Medicina Comportamental",current,sim
"Revista Ceres ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-737X&lng=en,"Universidade Federal de Viçosa",current,sim
"Revista chilena de historia natural ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0716-078X&lng=en,"Sociedad de Biología de Chile",current,não
"Revista Colombiana de Biotecnología ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3475&lng=en,"Instituto de Biotecnología, Universidad Nacional de Colombia",current,não
"Revista Colombiana de Entomología ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-0488&lng=en,"Sociedad Colombiana de Entomología",current,não
"Revista da SPAGESP ",http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-2970&lng=en,"Sociedade de Psicoterapias Analíticas Grupais do Estado de São Paulo",current,sim
"Revista de biología marina y oceanografía ",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-1957&lng=en,"Universidad de Valparaíso. Facultad de Ciencias del Mar",current,não
"Revista de Biología Tropical ",http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=0034-7744&lng=en,"Universidad de Costa Rica",current,não
"Revista de Ciencias ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-1935&lng=en,"Universidad del Valle",current,não
"Revista de Ciencias Ambientales ",http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=2215-3896&lng=en,"Universidad Nacional",current,não
"Revista de Investigaciones Altoandinas ",http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=2313-2957&lng=en,"Universidad Nacional del Altiplano",current,não
"Revista de la Academia Colombiana de Ciencias Exactas Físicas y Naturales ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0370-3908&lng=en,"Academia Colombiana de Ciencias Exactas, Físicas y Naturales",current,não
"Revista de la Sociedad Científica del Paraguay ",http://scielo.iics.una.py/scielo.php?script=sci_serial&pid=2617-4731&lng=en,"Sociedad Científica del Paraguay",current,não
"Revista de la Sociedad Entomológica Argentina ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0373-5680&lng=en,"Sociedad Entomológica Argentina",current,não
"Revista de la Sociedad Venezolana de Microbiología ",http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-2556&lng=en,"Organo Oficial de la Sociedad Venezolana de Microbiología.",current,não
"Revista de Protección Vegetal ",http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1010-2752&lng=en,"Centro Nacional de Sanidad Agropecuaria",current,não
"Revista de Salud Animal ",http://scielo.sld.cu/scielo.php?script=sci_serial&pid=0253-570X&lng=en,"Centro Nacional de Sanidad Agropecuaria",current,não
"Revista del Instituto Nacional de Higiene Rafael Rangel ",http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0477&lng=en,"Instituto Nacional de Higiene Rafael Rangel",current,não
"Revista del Museo Argentino de  Ciencias Naturales ",http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-0400&lng=en,"Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigación de las Ciencias Naturales",current,não
"Revista do Instituto de Medicina Tropical de São Paulo ",http://www.scielo.br/scielo.php?script=sci_serial&pid=0036-4665&lng=en,"Instituto de Medicina Tropical",current,sim
"Revista Ingeniería Biomédica ",http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-9762&lng=en,"Fondo Editorial EIA, Escuela de Ingeniería de Antioquia EIA-, Universidad CES",current,não
